Отметка времени;День Вашего рождения (числом);Месяц Вашего рождения (числом);Год Вашего рождения (числом);Ваш пол;Полное наименование ВУЗа, в котором Вы учились на время сдачи экзамена;Где Вы жили на время сдачи экзамен?;Ваше семейное положение на время сдачи экзамена;Ваш доход на время сдачи экзамена;По Вашему мнению, каким был предмет?;Был ли Вам полезен данный предмет?;Был ли преподаватель увлечён предметом?;Были ли Вы увлечены данным предметом?;Готовили ли Вы шпаргалки?;Сами ли Вы готовили шпаргалки?;Вы списывали?;За какой период Вы подготовились к экзамену?;Склонны ли Вы к прокрастинации (прокрастина?ция — склонность к постоянному откладыванию какого-либо дела)?;Внимательно ли Вы слушали преподавателя во время лекции?;Было ли несколько удачных опытов в списывании до этого экзамена?;Как Вы посещали пары по этому предмету?;Какой формы был экзамен?;Какой по характеру Ваш преподаватель?;Пол Вашего преподавателя;Приблизительный возраст Вашего преподавателя;Преподаватель замечал, что Вы списываете?;Как вёл пары преподаватель?;Ходил ли преподаватель во время экзамена?;В каких отношениях Вы были с преподавателем?;Какую оценку Вы получили?
3.25.2019 12:53:17;25;08;2000;Ж;Пгниу;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;3
3.25.2019 12:53:24;21;04;2000;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 12:53:39;18;08;1996;Ж;Пермский Государственный Национальный Исследовательский Университет;В общежитии;Есть девушка/молодой человек;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Нет, не ходил;Скорее всего в плохих, чем в хороших;4
3.25.2019 12:53:57;30;09;1999;Ж;Пермский Государственный Национальный Исследовательский Университет;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:54:08;25;6;1998;Ж;Пермский Государственный Национальный Исследовательский Университет;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Да, и позволял это делать;Материал был вообще не понятен;Нет, не ходил;В нейтральных;5
3.25.2019 12:54:13;20;12;1999;Ж;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;3
3.25.2019 12:54:17;20;2;1999;М;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;По настроению;М;Старше 50 лет;Да, и делал замечания;Материал был понятен не весь;Да, ходил;В нейтральных;2
3.25.2019 12:54:22;04;12;1994;Ж;ПГНИУ;В общежитии;Один;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Строгий;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 12:54:27;2;6;1999;М;Пермский государственный национальный исследовательский университет;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
3.25.2019 12:55:17;20;11;1998;М;Пермский Государственный Национальный Исследовательский Университет;С родителями в квартире;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
3.25.2019 12:55:19;5;12;1997;Ж;Пгниу ;В съёмной квартире не один;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;В нейтральных;3
3.25.2019 12:55:43;19;08;1999;Ж;МБОУ «Гимназия»;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Нет;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
3.25.2019 12:56:10;16;12;1999;М;ПГНИУ;В общежитии;Один;Живу на стипендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Нет;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;М;До 30 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
3.25.2019 12:56:36;11;09;1997;М;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;3
3.25.2019 12:57:39;28;8;1997;М;Пермский Государственный Национальный Исследовательский Университет;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:57:46;9;8;1999;Ж;Пермский Государственный Научно-исследовательский университет ;В съёмной квартире один;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;3
3.25.2019 12:58:35;03;10;1996;Ж;ПГНИУ;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 12:58:43;18;02;1999;Ж;Российская академия народного хозяйства и государственной службы при Президенте РФ;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Устной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:59:18;14;4;1995;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:59:28;2;12;1994;М;Пермский национальный исследовательский политехнический университет ;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в плохих, чем в хороших;3
3.25.2019 12:59:32;7;5;1997;М;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;В нейтральных;4
3.25.2019 12:59:48;18;02;1999;Ж;Российская академия народного хозяйства и государственной службы при Президенте РФ;В общежитии;Один;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 12:59:54;28;08;99;М;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;3
3.25.2019 13:00:54;18;02;1999;Ж;Российская академия народного хозяйства и государственной службы при Президенте РФ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Нет;Больше 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 13:00:58;9;6;1999;Ж;Пермский Государственный Национальный Исследовательский Университет ;С родителями в квартире;Один;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Был почти на всех парах;Устной;Строгий;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 13:01:12;5;7;2000;М;ПГНИУ;С родителями в квартире;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Письменной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 13:01:42;5;06;97;М;ПГНИУ ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:01:48;31;03;2000;Ж;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;В нейтральных;3
3.25.2019 13:02:13;4;9;1997;М;"Научно-исследовательский университет ""Высшая Школа Экономики""";С родителями в квартире;Один;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:02:17;28;05;1998;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Письменной;По настроению;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был вообще не понятен;Да, ходил;В нейтральных;4
3.25.2019 13:02:24;12;01;2001;Ж;Пгниу;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;Скорее всего в плохих, чем в хороших;2
3.25.2019 13:03:30;17;3;1998;Ж;УГМУ;В своей квартире не один;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;4
3.25.2019 13:03:43;25;9;1999;М;ПГНИУ ;С родителями в квартире;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 13:03:43;2;12;1994;М;Пермский национальный исследовательский политехнический университет ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Очень часто прогуливал;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
3.25.2019 13:03:49;25;9;1999;М;ПГНИУ ;С родителями в квартире;Есть девушка/молодой человек;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.25.2019 13:05:19;19;04;2000;М;ПГНИУ;С родителями в квартире;Один;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;До 30 лет;Да, и позволял это делать;Весь материал был понятен;Да, ходил;В очень хороших отношениях;5
3.25.2019 13:05:25;24;4;1998;Ж;Пермский государственный национальный исследовательский университет;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;5
3.25.2019 13:05:41;16;03;1997;М;Пермский Государственный Национальный Исследовательский Университет ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:05:51;2;12;1994;М;Пермский национальный исследовательский политехнический университет ;С родителями в квартире;Один;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;По настроению;Ж;Старше 50 лет;Да, и делал замечания;Материал был понятен не весь;Да, ходил;В нейтральных;5
3.25.2019 13:05:52;3;2;1997;М;пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Строгий;М;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В нейтральных;2
3.25.2019 13:06:37;23;08;2000;М;ПГНИУ;С родителями в квартире;Один;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:07:11;30;10;1997;Ж;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:07:27;12;1;2000;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Ходили на все пары;Письменной;По настроению;М;С 30 до 50 лет;Да, и делал замечания;Материал был вообще не понятен;Да, ходил;В нейтральных;3
3.25.2019 13:09:47;12;08;1999;М;ПГНИУ;В своей квартире один;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;5
3.25.2019 13:10:14;30;11;2000;Ж;ПГНИУ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;4
3.25.2019 13:10:50;24;4;1998;Ж;Пермский государственный научный исследовательский университет;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Да;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:11:02;20;11;1995;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
3.25.2019 13:11:12;15;5;1999;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
3.25.2019 13:11:18;17;04;1999;Ж;Пгниу;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;До 30 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
3.25.2019 13:13:37;6;6;1999;М;ПГНИК;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:14:48;20;11;1995;М;ПГНИУ;В своей квартире не один;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Очень часто прогуливал;Письменной;По настроению;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;3
3.25.2019 13:16:33;13;03;2000;Ж;ПГНИУ;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.25.2019 13:16:37;16;12;1998;М;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Очень часто прогуливал;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
